iteration_id,branch_id,setup_definition,high_lookback_days,leader_strength_definition,laggard_definition,trigger_definition,context_filter,comparison_target,holding_window_days,sample_count,avg_excess_return,median_excess_return,hit_rate,subperiod_consistency,headline_verdict,notes
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,2.0,22,-0.0004984301777156091,0.0010416489701928766,0.5454545454545454,mixed pre/post 2020,revise,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,3.0,22,-0.0038961495472500034,-0.0029531935724803615,0.36363636363636365,mixed pre/post 2020,kill,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,4.0,22,-0.00144403565449241,-0.0001687578750828589,0.5,negative pre/post 2020,kill,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,5.0,22,-0.001111170042564699,-0.0004503092532069375,0.5,negative pre/post 2020,kill,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,2.0,22,0.0001671155766301482,-0.0001055488479287936,0.5,mixed pre/post 2020,revise,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,3.0,22,-0.0025251938286052667,-0.0013812143644603703,0.4090909090909091,mixed pre/post 2020,kill,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,4.0,22,-0.0012324058972707093,-0.0009325908492318624,0.4090909090909091,negative pre/post 2020,kill,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,5.0,22,0.0002032209277388947,0.0018195779589514904,0.5909090909090909,mixed pre/post 2020,revise,setups=22; triggered=22; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,2.0,20,-0.0002551038272226358,-0.0007608847048292122,0.45,mixed pre/post 2020,kill,setups=20; triggered=20; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,3.0,20,-0.0033465886546350187,-0.0020792727557465973,0.35,mixed pre/post 2020,kill,setups=20; triggered=20; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,4.0,20,-0.002989998026237595,-0.0017698578091605022,0.35,negative pre/post 2020,kill,setups=20; triggered=20; expired=0; laggard=QQQ
iteration_01,S1_T0_DIA_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,DIA,5.0,20,-0.0015319712272400033,0.001048084337755384,0.55,negative pre/post 2020,revise,setups=20; triggered=20; expired=0; laggard=QQQ
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,2.0,27,0.0014133768577109075,-0.0001218879819455676,0.48148148148148145,positive pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,3.0,26,0.00324695792663768,0.003981857313873016,0.5769230769230769,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,4.0,26,0.005579355343102166,0.0036826846513962064,0.6538461538461539,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,60,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,5.0,26,0.006788169115232898,0.006859148340851884,0.5769230769230769,mixed pre/post 2020,revise,setups=29; triggered=27; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,2.0,24,0.0006669941782605493,-0.0022275964555786842,0.4166666666666667,mixed pre/post 2020,revise,setups=26; triggered=24; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,3.0,23,0.003765664234339405,0.004534716567245134,0.5652173913043478,mixed pre/post 2020,revise,setups=26; triggered=24; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,4.0,23,0.005466109779079295,0.0034509310057870834,0.6521739130434783,mixed pre/post 2020,revise,setups=26; triggered=24; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,128,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,5.0,23,0.005786593637949818,0.003972112610981293,0.5652173913043478,mixed pre/post 2020,revise,setups=26; triggered=24; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,2.0,23,0.0005008972066914515,-0.0001218879819455676,0.4782608695652174,positive pre/post 2020,revise,setups=25; triggered=23; expired=2; laggard=DIA
iteration_01,S1_T0_QQQ_leads,same-day strict non-confirmation,252,leader at/near important high and >=2% ahead of laggard over prior 10 days,other non-SPY ETF not confirming high and trailing prior 10-day return,baseline control,SPY,QQQ,3.0,22,0.003480874799940384,0.0034283112363222568,0.5454545454545454,positive pre/post 2020,promote,setups=25; triggered=23; expired=2; laggard=DIA
